SKU,Price,Product_Name,CDW_Part
BE425M,$61.99,APC Back-UPS 425VA 6-Outlet Battery Back-Up and Surge Protector,4291050
BE600M1,$79.99,APC Back-UPS 600VA 7-Outlet/1-USB Battery Back-Up and Surge Protector,4170648
BE850M2,SKU Not found,Not applicable,Not applicable
3S350,SKU Not found,Not applicable,Not applicable
3S550,$77.99,Eaton 3S UPS 550VA 330W Battery Backup Standby UPS 120V 8 Outlet 5-15P,2437699
3S750,SKU Not found,Not applicable,Not applicable
BC350,$103.99,LG BP350 - Blu-ray disc player,6466217
AVR550U,$87.99,Tripp Lite UPS Desktop 550VA 300W Line-Interactive Battery Back Up AVR RJ11,856572
AVR750U,SKU Not found,Not applicable,Not applicable
PST5-350MT120,$61.99,"Vertiv Liebert PST5 350VA 200W UPS, batt. backup, surge protection, 8 plug",5100131
PST5-500MT120,$71.99,"Vertiv Liebert PST5 500VA 300W UPS, batt. backup, surge protection, 8 plug",5100133
PST5-850MT120,$99.99,"Vertiv Liebert PST5 850VA 500W UPS, batt. backup, surge protection, 8 plug",5101258
CP350SLG,$53.95,CyberPower Standby Series CP350SLG - UPS - 255 Watt - 350 VA,2554649
CP550SLG,$69.95,CyberPower CP550SLG,1965894
CP750LCD,$98.95,CyberPower Intelligent LCD CP750LCD - UPS - 420 Watt - 750 VA,2734456
BR700G,$135.99,APC Back-UPS Pro 700VA 6-Outlet Battery Back-Up and Surge Protector,1902283
BR1000MS,$172.99,APC Back-UPS Pro 1000VA 10-Outlet/2-USB Battery Back-Up and Surge Protector,4928910
BR1500MS,SKU Not found,Not applicable,Not applicable
BX1000M,$183.99,APC Back-UPS Pro Compact 1000VA 8-Outlet Battery Back-Up + Surge Protector,4527016
BX1500M,$229.99,APC Back-UPS Pro Compact 1500VA 10-Outlet Battery Back-Up + Surge Protector,4584120
5S700LCD,$133.99,Eaton 5S UPS 700VA 420W 120V Line-Interactive Battery Backup Tower USB LCD,3063599
5S1000LCD,$159.99,Eaton 5S UPS 1000VA 600W 120V LCD Line-Interactive Battery Backup ECO USB,3063592
5S1500LCD,$215.99,Eaton 5S UPS 1500VA 900W 120V LCD Line-Interactive Battery Backup ECO USB,3063594
OMNI650LCD,$157.99,Tripp Lite UPS 650VA 350W Battery Back Up Tower USB LCD AVR 120V 8 outlets,915841
SMART1000LCD,SKU Not found,Not applicable,Not applicable
SMART1500LCD,SKU Not found,Not applicable,Not applicable
CP600LCD,$87.95,CyberPower CP600LCD,1255904
CP1000AVRLCD,$159.95,CyberPower CP1000AVRLCD,1255913
CP1500AVRLCD,SKU Not found,Not applicable,Not applicable
CP1500PFCLCD,SKU Not found,Not applicable,Not applicable
SC420,SKU Not found,Not applicable,Not applicable
SC620,SKU Not found,Not applicable,Not applicable
SMC1000,SKU Not found,Not applicable,Not applicable
SMC1500,SKU Not found,Not applicable,Not applicable
5SC500,$205.99,Eaton 5SC UPS 500VA 350W 120V Line-Interactive Sine Wave Battery Backup,3119441
5SC750,SKU Not found,Not applicable,Not applicable
5SC1000,$339.99,Eaton 5SC UPS 1000 VA 700W 120V Line-Interactive Sine Wave Battery Backup,3121151
5SC1500,SKU Not found,Not applicable,Not applicable
BC600SINE,$183.99,Tripp Lite UPS Desktop 600VA 375W  Battery Backup Pure Sine Wave Tower 120V,2333921
SMART750,SKU Not found,Not applicable,Not applicable
SMART1050,SKU Not found,Not applicable,Not applicable
SMART1500,SKU Not found,Not applicable,Not applicable
OR750PFCLCD,$413.95,CyberPower PFC Sinewave Series OR1500PFCLCD - UPS - 1050 Watt - 1500 VA,3835011
OR1000PFCLCD,$328.95,CyberPower PFC Sinewave Series OR1000PFCLCD - UPS - 700 Watt - 1000 VA,4112132
OR1500PFCLCD,$413.95,CyberPower PFC Sinewave Series OR1500PFCLCD - UPS - 1050 Watt - 1500 VA,3835011
SMT750RM2UC,SKU Not found,Not applicable,Not applicable
SMT1000RM2UC,$639.99,"APC Smart-UPS 1000VA SmartConnect Port Sinewave 2U Rackmount, LCD, 120V",4818699
SMT1500RM2UC,SKU Not found,Not applicable,Not applicable
SMT2200RM2UC,"$1,543.99","APC Smart-UPS 2200VA SmartConnect Port Sinewave 2U Rackmount, LCD, 120V",4894880
SMT3000RM2UC,"$1,801.99","APC Smart-UPS 3000VA SmartConnect Port Sinewave 2U Rackmount, LCD, 120V",4894882
5P750R,SKU Not found,Not applicable,Not applicable
5P1000R,SKU Not found,Not applicable,Not applicable
5P1500R,SKU Not found,Not applicable,Not applicable
5P2200RT,"$1,379.99",Eaton 5P UPS 1950VA 1920W 120V 2U True Sine Wave Rack/Tower Net Card Option,2824739
5P3000RT,"$1,653.99",Eaton 5P UPS 3000VA 2700W 120V True SineWave Rack/Tower UPS Net Card Option,2824741
5P750RC,$507.99,Eaton 5P UPS 750VA 600W 120V Sine Wave 2U Rackmount UPS Net Card Optional,4489158
5P1000RC,$647.99,Eaton 5P UPS 1000VA 770W 120V 2U Rackmount True SineWave Net Card Optional,4489160
5P1500RC,$826.99,Eaton 5P UPS 1440VA 1100W 120V 2U Rackmount True SineWave Net Card Optional,4489163
SMART750RM1U,SKU Not found,Not applicable,Not applicable
SMART1000RM2U,SKU Not found,Not applicable,Not applicable
SMART1500RM2U,SKU Not found,Not applicable,Not applicable
SMART2200RM2U,SKU Not found,Not applicable,Not applicable
SMART3000RM2U,SKU Not found,Not applicable,Not applicable
PSI5-1000RM1201U,$738.99,Vertiv Liebert PSI5 UPS - 1000VA 1350W 1U Line Interactive AVR Rack Mount,5823827
PSI5-1500RM1201U,$914.99,Vertiv Liebert PSI5 UPS - 1440VA 1350W 1U Line Interactive AVR Rack Mount,5823834
PR750LCDRT1U,$475.95,CyberPower Smart App Sinewave PR750LCDRT1U - UPS - 600 Watt - 750 VA,3331794
PR1000LCDRT2U,SKU Not found,Not applicable,Not applicable
PR1500LCDRT2U,SKU Not found,Not applicable,Not applicable
PR2200LCDRT2U,$604.95,CyberPower Smart App Intelligent LCD OR2200LCDRT2U - UPS - 1320 Watt - 2000,3288248
PR3000LCDRT2U,$194.99,CyberPower RB1270X4A - UPS battery - lead acid - 7 Ah,3459068
SMT750C,SKU Not found,Not applicable,Not applicable
SMT1000C,SKU Not found,Not applicable,Not applicable
