SKU,Price,Product_Name,CDW_Part
BE425M,$97.99,APC Back-UPS BE425M - UPS - 255 Watt - 425 VA,4441902
BE600M1,$125.99,APC Back-UPS BE600M1 - UPS - 330 Watt - 600 VA,4247917
BE850M2,SKU Not found,Not applicable,Not applicable
3S350,SKU Not found,Not applicable,Not applicable
3S550,$114.99,Eaton 3S UPS 550VA 330W Battery Backup Standby UPS 120V 8 Outlet 5-15P,2479799
3S750,SKU Not found,Not applicable,Not applicable
BC350,SKU Not found,Not applicable,Not applicable
AVR550U,$129.99,Tripp Lite UPS Desktop 550VA 300W Line-Interactive Battery Back Up AVR RJ11,874530
AVR750U,$177.99,Tripp Lite UPS Desktop 750VA 450W Battery Back Up AVR Compact 120V USB RJ11,939015
PST5-350MT120,$105.99,Liebert PST5 - UPS - 300 Watt - 500 VA,5118020
PST5-500MT120,$105.99,Liebert PST5 - UPS - 300 Watt - 500 VA,5118020
PST5-850MT120,SKU Not found,Not applicable,Not applicable
CP350SLG,$69.99,CyberPower Standby Series CP350SLG,2396649
CP550SLG,$89.99,CyberPower CP550SLG,1989727
CP750LCD,SKU Not found,Not applicable,Not applicable
BR700G,$238.99,APC Back-UPS RS LCD 700 Master Control,1933451
BR1000MS,$298.99,APC Back-UPS Pro BR - UPS - 600 Watt - 1000 VA,4910284
BR1500MS,SKU Not found,Not applicable,Not applicable
BX1000M,SKU Not found,Not applicable,Not applicable
BX1500M,$445.99,APC Back-UPS Pro BN 1500VA - UPS - 900 Watt - 1500 VA,5158461
5S700LCD,$196.99,Eaton 5S UPS 700VA 420W 120V Line-Interactive Battery Backup Tower USB LCD,3123400
5S1000LCD,$235.99,Eaton 5S UPS 1000VA 600W 120V LCD Line-Interactive Battery Backup ECO USB,3129388
5S1500LCD,$314.99,Eaton 5S UPS 1500VA 900W 120V LCD Line-Interactive Battery Backup ECO USB,3079803
OMNI650LCD,$224.99,Tripp Lite UPS 650VA 350W Battery Back Up Tower USB LCD AVR 120V 8 outlets,923554
SMART1000LCD,SKU Not found,Not applicable,Not applicable
SMART1500LCD,SKU Not found,Not applicable,Not applicable
CP600LCD,$122.99,CyberPower CP600LCD,1738024
CP1000AVRLCD,$222.99,CyberPower CP1000AVRLCD,1738032
CP1500AVRLCD,$258.99,CyberPower CP1500AVRLCD,1738035
CP1500PFCLCD,$307.99,CyberPower PFC Sinewave Series CP1500PFCLCD - UPS - 1000 Watt - 1500 VA,2202684
SC420,"$8,759.99",SW ADVANCE PROTECTION STE NSV470 3YR,7187374
SC620,"$8,759.99",SW ADVANCE PROTECTION STE NSV470 3YR,7187374
SMC1000,SKU Not found,Not applicable,Not applicable
SMC1500,SKU Not found,Not applicable,Not applicable
5SC500,$302.99,Eaton 5SC UPS 500VA 350W 120V Line-Interactive Sine Wave Battery Backup,3203030
5SC750,$438.99,Eaton 5SC UPS 750VA 525 Watt 120V Line-Interactive Sine Wave Battery Backup,3426756
5SC1000,$501.99,Eaton 5SC UPS 1000 VA 700W 120V Line-Interactive Sine Wave Battery Backup,3224425
5SC1500,SKU Not found,Not applicable,Not applicable
BC600SINE,$254.99,Tripp Lite UPS Desktop 600VA 375W Battery Backup Pure Sine Wave Tower 120V,2428883
SMART750,SKU Not found,Not applicable,Not applicable
SMART1050,SKU Not found,Not applicable,Not applicable
SMART1500,SKU Not found,Not applicable,Not applicable
OR750PFCLCD,$577.99,CyberPower PFC Sinewave Series OR1500PFCLCD - UPS - 1050 Watt - 1500 VA,3845201
