Brand,Rating,SKU
3S,,
APC,350,BE425M
,550,BE600M1
,750,BE850M2
Eaton,350,3S350
,550,3S550
,750,3S750
TrippLite,350,BC350
,550,AVR550U
,750,AVR750U
Vertiv,350,PST5-350MT120
,550,PST5-500MT120
,750,PST5-850MT120
Cyber Power,350,CP350SLG
,550,CP550SLG
,750,CP750LCD
5S,,
APC,700,BR700G
,1000,BR1000MS
,1500,BR1500MS
,1000,BX1000M
,1500,BX1500M
Eaton,700,5S700LCD
,1000,5S1000LCD
,1500,5S1500LCD
TrippLite,700,OMNI650LCD
,1000,SMART1000LCD
,1500,SMART1500LCD
Cyber Power,700,CP600LCD
,1000,CP1000AVRLCD
,1500,CP1500AVRLCD
,1500,CP1500PFCLCD
5SC,,
APC,500,SC420
,750,SC620
,1000,SMC1000
,1500,SMC1500
Eaton,500,5SC500
,750,5SC750
,1000,5SC1000
,1500,5SC1500
TrippLite,500,BC600SINE
,750,SMART750
,1000,SMART1050
,1500,SMART1500
Cyber Power,500,
,750,OR750PFCLCD
,1000,OR1000PFCLCD
,1500,OR1500PFCLCD
5P Rack,,
APC,750,SMT750RM2UC
,1000,SMT1000RM2UC
,1500,SMT1500RM2UC
,2200,SMT2200RM2UC
,3000,SMT3000RM2UC
Eaton,750,5P750R
,1000,5P1000R
,1500,5P1500R
,2200,5P2200RT
,3000,5P3000RT
,750,5P750RC
,1000,5P1000RC
,1500,5P1500RC
TrippLite,750,SMART750RM1U
,1000,SMART1000RM2U
,1500,SMART1500RM2U
,2200,SMART2200RM2U
,3000,SMART3000RM2U
Vertiv,750,
,1000,PSI5-1000RM1201U
,1500,PSI5-1500RM1201U
,2200,
,3000,
Cyber Power,750,PR750LCDRT1U
,1000,PR1000LCDRT2U
,1500,PR1500LCDRT2U
,2200,PR2200LCDRT2U
,3000,PR3000LCDRT2U
5P Tower,,
APC,750,SMT750C
,1000,SMT1000C
,1500,SMT1500C
,2200,SMT2200C
,3000,SMT3000C
Eaton,750,5P750
,1000,5P1000
,1500,5P1500
,2200,5P2200
,3000,5P3000
TrippLite,750,SMART750SLT
,1000,SMART1050SLT
,1500,SMART1500SLT
,2200,SMART2200NET
,3000,SMART3000NET
Vertiv,750,PSI5-750MT120
,1000,PSI5-1100MT120
,1500,PSI5-1500MT120
,2200,
,3000,
Cyber Power,750,PR750LCD
,1000,PR1000LCD
,1500,PR1500LCD
,2200,PR2200LCD
,3000,PR3000LCD
5PX,,
APC,1000,SMX1000C
,1500,SMX1500RM2U
,2200,SMX2000RMLV2U
,3000,SMX3000RMLV2U
Eaton,1000,5PX1000RT
,1500,5PX1500RT
,2200,5PX2200RT
,3000,5PX3000RT2U
TrippLite,1000,SMART750RMXL2U
,1500,SMART1500RMXL2UA
,2200,SMART2200RMXL2U
,3000,SMART3000RMXL2U
Vertiv,1000,PSI5-1100RT120
,1500,PSI5-1500RT120
,2200,PSI5-2200RT120
,3000,PSI5-3000RT120
Cyber Power,1000,PR1000LCDRTXL2U
,1500,PR1500LCDRTXL2U
,2200,PR2200LCDRTXL2U
,3000,PR3000LCDRTXL2U
9PX,,
APC,700,
,1000,SRT1000RMXLA
,1500,SRT1500RMXLA
,2200,SRT2200RMXLA
,3000,SRT3000RMXLA
,5000,SRT5KRMXLT
,6000,SRT6KRMXLT
,8000,SRT8KRMXLT
,11000,SRT10KRMXLT
Eaton,700,9PX700RT
,1000,9PX1000RT
,1500,9PX1500RT
,2200,9PX2000RT
,3000,9PX3000RT
,5000,9PX5K
,6000,9PX6K
,8000,9PX8K
,11000,9PX11K
TrippLite,700,SU750RTXLCD2U
,1000,SU1000RTXLCD2U
,1500,SU1500RTXLCD2U
,2200,SU2200RTXLCD2U
,3000,SU3000RTXLCD3U
,5000,SU5000RT4UHV
,6000,SU6000RT4UHV
,8000,SU8000RT3U
,11000,SU10000RT3U
Vertiv,700,GXT5-750LVRT2UXL
,1000,GXT5-1000LVRT2UXL
,1500,GXT5-1500LVRT2UXL
,2000,GXT5-2000LVRT2UXL
,3000,GXT5-3000LVRT2UXLN
,5000,GXT5-5000HVRT5UXLN
,6000,GXT5-6000MVRT4UXLN
,8000,GXT5-8000HVRT5UXLN 
,11000,GXT5-10KHVRT5UXLN
Cyber Power,700,
,1000,OL1000RTXL2U
,1500,OL1500RTXL2U
,2200,OL2200RTXL2U
,3000,OL3000RTXL2U
,5000,OL5KRTHD
,6000,OL6KRTHD
,8000,
,11000,
9PX Lithium,,
APC,1500,
,2000,
,3000,SRTL3KRM1UC
Eaton,1500,9PX1500RT-L
,2000,9PX2000RT-L
,3000,9PX3000RT-L
Vertiv,1500,GXT5LI-1500LVRT2UXL
,2000,GXT5LI-2000LVRT2UXL
,3000,GXT5LI-3000LVRT2UXL
9SX,,
APC,700,
,1000,SRT1000XLA
,1500,SRT1500XLA
,2200,SRT2200XLA
,2200(HV),SRT2200RMXLI
,3000,SRT3000RMXLA
,3000(HV),SRT3000RMXLW-IEC
Eaton,700,9SX700
,1000,9SX1000
,1500,9SX1500
,2200,9SX2000
,2200(HV),9SX2000G
,3000,9SX3000
,3000(HV),9SX3000G
TrippLite,700,SU750XL
,1000,SU1000XLCD
,1500,SU1500XLCD
,2200,SU2200XLCD
,2200(HV),
,3000,SU3000XLCD
,3000(HV),SUINT3000XLCD
Vertiv,700,GXT5-750LVRT2UXL
,1000,GXT5-1000LVRT2UXL
,1500,GXT5-1500LVRT2UXL
,2000,GXT5-2000LVRT2UXL
,2200(HV),
,3000,GXT5-3000LVRT2UXL
,3000(HV),
Cyber Power,700,
,1000,OL1000RTXL2U
,1500,OL1500RTXL2U
,2200,OL2200RTXL2U
,2200(HV),
,3000,OL3000RTXL2U
,3000(HV),OL3000RTXL2UHV
9PXM Tower,,
APC,4000,SYA4K8P
,8000,SYA8K8P
,12000,SYA12K16P
,16000,SYA16K16P
Eaton,4000,9PXM8S4K
,8000,9PXM8S8K
,12000,9PXM8S12K
,16000,9PXM8S16K
9PXM Rackmount,,
APC,4000,SYA4K8P
,8000,SYA8K8P
,12000,SYA12K16P
,16000,SYA16K16P
Eaton,4000,9PXM8S4K-PD
,8000,9PXM8S8K-PD
,12000,9PXM12S12K-PD
,16000,9PXM12S16K-PD
Rack PDU,,
APC,EPBZ,AP9567
,EATS,AP4450
,EBA,CR42U11001
,EMA,AP8941
,EMI,AP8841
Eaton,EPBZ,EPBZ73
,EATS,EATS115
,EBA,EBA110-10
,EMA,EMA107-10
,EMI,EMI104-10
TrippLite,EPBZ,PDUV15
,EATS,PDUMH15ATNET
,EBA,
,EMA,PDUMVR30HVNETLX
,EMI,PDUMNV30HV2LX
Rack Enclosure,,
APC,,AR3100
,,AR3150
Eaton,,RSV4261B
,,RSV4281B
TrippLite,,SR42UB
,,SR42UBWD
Cyber Power,,CR42U11001
,,
Lithium Ion UPS,,
APC,1500,SMTL1500RM3UC
Eaton,1550,5P1550GR-L
,1500,5P1500R-L
TrippLite,1000,SMART1000RM2UL
,1500,SMART1500RM2UL
,2200,SMART2200RM2UL
Vertiv,1500,PSI5-1500RT120LI
9x55,,
APC,,SRT10KXLTUS
Eaton,,K41012000000000
Vertiv,,GXT5-10KMVRT6UXLN
APC,,SURT15KRMXLT-TF5
Eaton,,K41512000000000
Vertiv,,GXT5-15KMVRT11UXLN
Vertiv,,AS3C0NCXGNNXLKB
APC,,GVSUPS10KB2FS
APC,,SUVTP10KH1B4S
Schneider,,E3SUPS10KFBS
Eaton,,KA1012100000010
Vertiv,,EXS101B0010A0A0
APC,,SUVTP15KF4B4S
APC,,GVSUPS15KB4FS
Schneider,,E3SUPS15KFBS
Eaton,,KA1512100000010
APC,,GVSUPS20KB2GS
Schneider,,E3SUPS20KFBS
Eaton,,KB2013100000010
Xtreme Power,,M90-20k10BM
APC,,SUVTR30KF4B5S
APC,,GVSUPS30K0B5FS
Schneider,,E3SUPS30KFBS
Eaton,,KB3013100000010
Vertiv,,53S30HCER200
